position,salary_range,company,category1,category2,location,remote,must have,nice to have,seniority
Senior Python Backend Engineer (MedTech),21 840  – 25 200  PLN,Sigma IT Poland,Backend,Python,Remote,,"Python, Docker, SQL, Cloud, Kubernetes, API Gateway, Service mesh, Microservices, Polish (B2), English (C1)","DAPR, Helm, ArgoCD, CI/CD",Senior
Webflow Developer,11 626  – 16 992  PLN,Netguru,Frontend,Webflow,Remote,,"Webflow, CMS, Rwd, HTML, CSS, JavaScript, jQuery, Figma, English (B2)","GSAP, WCAG, UX, UI, Open API",Mid
Remote Avionics Test Automation Engineer,23 520  – 33 000  PLN,int2code GmbH,Testing,Python,Remote,,"Python, Communication skills, git, ROBOT Framework, Jenkins, C, Git, embedded software testing, English, English (C1)","ISTQB-Certification, Polarion, LDRA, Ceedling, German",Mid
Sales Development Representative,6 000  – 9 000  PLN,CodiLime,Sales,,Remote,,"experience in selling IT services, outbound sales, social selling, Polish, English (C1)",None,Mid
SAP ABAP Developer,24 000  – 33 500  PLN,CSHARK Sp. z o.o.,ERP,,Remote,,"SAP, SAP ERP, ABAP, ABAP OO, English (B2), Polish (C1)","Azure, S/4HANA",Senior
Account Manager,8 000  – 12 000  PLN,TR Group,Sales,,Kraków,,English,None,Mid
Remote Mid Project Manager - Mechanics,12 000  – 16 000  PLN,Thoriana Sp. z o.o.,Mechanics,,Remote,,English (B2),"MES, PMP, PM, Prince2",Mid
Remote Mid Analyst - AI,12 000  – 16 000  PLN,Thoriana Sp. z o.o.,AI,,Remote,,"Visio, MS Project, UML, BPMN, CRM, ERP, Prince2, UX, UI, MS Office, English (B2)",None,Mid
Junior Marketing Specialist,4 800  – 6 000  PLN,Thoriana Sp. z o.o.,Marketing,,Warsaw,,"Canva, Adobe, Photoshop, Google Analytics, MS Office, English (B2)",None,Junior
Junior Project Manager - Finance,8 000  – 12 000  PLN,Thoriana Sp. z o.o.,Finance,,Warsaw,,English (B2),None,Junior
Remote Senior Project Manager -Mechanics,17 000  – 22 000  PLN,Thoriana Sp. z o.o.,Mechanics,,Remote,,"MES, PMP, PM, Prince2, English (B2)",None,Senior
Mid Project Manager - Telecommunication,12 000  – 16 000  PLN,Thoriana Sp. z o.o.,Telecommunication,,Remote,,English (B2),"Telco, PMP, PM, Prince2",Mid
Spec. ds. Sprzedaży MS Dynamics 365,9 000  – 12 000  PLN,Probit Sp. z o.o.,Sales,,Remote,,"ERP, sale",English (B2),"Mid, Senior"
